views,likes,dislikes,comment,category,adview
1031602,8523,363,1095,F,40
1707,56,2,6,D,2
2023,25,0,2,C,1
620860,777,161,153,H,6
666,1,0,0,D,1
78,0,0,0,D,4
43118,15,1,0,D,40621
14205,55,16,1,E,1
526015,3064,211,2582,F,1
406992,3831,310,7839,B,1
607447,377,144,65,D,19
429137,2181,76,172,B,9
1895,59,5,0,B,224
59843,68,16,10,D,1
211642,1378,65,103,F,2
3700,29,6,3,B,1
2303,4,0,0,G,2
5886,23,0,4,D,4794
9477,66,0,0,G,107
115426,83,10,2,G,53702
62255,71,10,1,D,2
15353,13,6,9,D,1
236589,1730,38,140,D,1
94719,192,11,23,D,2
3089826,7493,1148,330,D,14
2046444,3910,845,247,G,3
2103487,13342,734,650,B,3
740683,935,68,57,D,3
805979,2036,183,215,B,1
229495,372,50,44,D,1
2758,2,0,1,D,1
24672,313,10,128,D,1
2000406,14974,686,1297,D,2
163161,617,25,51,E,4
422797,1226,122,117,D,6
157479,944,40,52,B,1
109,0,1,0,D,1
3258674,9193,290,823,G,53
17128,33,4,4,F,2
136151,155,13,14,D,1
1034,5,0,0,A,1
513871,743,214,45,D,1
178089,1259,24,124,E,4
553420,818,167,59,D,17
623004,531,182,76,D,2
172599,162,61,35,E,1
793069,2638,163,135,G,1
462,1,0,0,D,4
15882,102,1,41,D,1
797861,2117,225,170,D,1
5503,6,2,1,G,1
19213,78,5,0,D,1
165497,215,62,153,D,4
212195,561,61,192,D,1
805,6,0,0,D,4
89443,84,26,4,D,5
56573,228,5,16,G,2
367301,204,80,4,D,61
1389401,13224,831,522,F,1619
7702,23,0,1,G,1
101581,314,11,4,D,1
581,7,0,1,D,182
1515742,14551,514,5752,B,5
11991184,48324,5808,5167,D,36
1275680,4743,932,184,D,3
127821,1127,80,466,F,3
7779,59,0,7,G,1
415699,251,49,23,D,11
162390,1031,34,33,C,1
683587,1172,122,85,D,7
38570,55,6,11,E,2
503532,1872,50,85,G,2
52039,240,16,145,D,1
5863262,10238,2541,611,C,16
981761,2414,267,217,D,3
31339,142,11,16,G,1
18222,51,6,30,D,1
21772,37,3,3,D,1
15345,9,8,0,D,4
81993,882,21,227,D,1
293365,126,36,7,D,3
1939,36,0,16,D,1
23692,178,6,19,D,1
970875,4982,235,256,G,2
11703,217,13,6,G,2
167645,154,52,81,D,1
7759,34,4,18,D,1
775,7,0,1,D,2
3423094,1195,624,26,D,69
21512,203,12,61,G,5
123061,140,42,20,D,1
25680,20,6,1,A,2
635882,1048,126,589,E,2
578880,1434,205,173,D,2
141023,154,44,16,D,1
1208415,2082,202,120,D,1
5993,11,2,1,E,1
1908671,675,448,71,D,6
609442,6698,349,724,G,124
569870,730,63,69,G,1
335120,327,125,28,D,11
4351,56,1,18,D,3291
424331,166,80,6,D,1
845994,4212,251,736,E,1
921464,430,343,,D,14
598434,4851,1170,1243,G,19
184429,1136,175,625,B,4
321059,1373,119,544,D,1
4609,67,7,60,G,1
2911207,18658,384,2599,B,10
845625,652,197,71,D,14
6487,23,1,0,D,1
3793,2,3,0,E,1
599143,1682,119,55,D,8
13259,92,10,8,B,2
141,0,0,0,D,1
678578,267,112,,C,2
63164,60,5,7,D,37895
542073,2043,138,459,D,4
525236,7064,95,460,D,1
11909,40,1,2,E,2
279067,1610,203,1823,D,1
194540,2106,242,254,B,2
57917,461,11,10,H,1
118990,195,11,14,E,1
10168,88,2,11,D,1
10328,79,14,,B,1
17530,95,5,11,E,1
40222,60,48,11,D,372
236928,281,37,6,D,1
2019,4,0,3,D,1909
610698,10095,183,646,B,1
52837,989,15,53,D,2
113011,158,37,24,D,1
187968,2972,185,564,D,68944
318644,592,118,76,C,3
2704332,3772,192,316,G,4
5934,27,0,8,D,1
54161,219,6,11,G,1
11097,58,3,7,G,3801
269247,8142,134,744,A,1
66892,232,8,125,G,2
144107,450,11,36,B,20
8413,70,3,1,E,1
2721169,15452,401,564,G,1
61779,194,7,33,D,1
3698,8,1,0,F,2633
1717192,6180,176,481,G,1
817940,3692,74,263,G,1
427942,1244,47,114,D,1
11304,56,3,8,D,2
569363,3253,398,923,D,12
755505,1869,515,214,G,7
166099,189,54,20,D,2
6423,7,2,0,D,4853
127347,,,4,G,8
413720,2381,65,489,D,1
1350,1,0,0,E,1
292248,901,42,66,E,6
3475658,3593,1168,210,E,27
487233,2645,439,835,F,2
162216,1005,25,37,D,8
2257,2,0,0,D,2
849510,8176,1230,2190,D,3
44545,62,17,15,D,1
236444,1037,92,61,G,2
146078,510,31,29,C,1
68763,75,29,1,D,1
2353030,26642,276,4564,B,2
797173,739,379,67,H,1
539,0,0,0,D,1
37147,234,9,4,E,7
1760531,2220,401,151,D,238
150554,304,39,47,D,1
11678,25,0,1,G,4
437404,1081,79,42,D,3
368,0,1,0,D,7
343728,488,75,74,E,1
11226,34,3,0,E,1
60994,78,16,12,D,2
4834,0,0,0,D,1
36728,768,6,14,D,21614
650504,1667,94,43,D,7
